"Document - Numéro du document";"Document - Code client";"Document - Code postal (facturation)";"Document - Ville (facturation)";"Document - Département (facturation)";"Document - Code Pays (facturation)";"Document - Date";"Document - Total Brut HT";"Document - Total TTC";"Ligne - Code article";"Ligne - Description commerciale en clair";"Ligne - Quantité";"Ligne - Montant Net HT";"Ligne - Montant Net TTC"
"FA00006328";"ESPACE";"95150";"TAVERNY";"VAL-D'OISE";"FR";"29/11/2021";"1840,00000000";"2208,00000000";"";"Suivant devis N° FC211004762D";"";"";""
"FA00006328";"ESPACE";"95150";"TAVERNY";"VAL-D'OISE";"FR";"29/11/2021";"1840,00000000";"2208,00000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion";"1,00000000";"1840,00000000";"2208,00000000"
"FA00006329";"DIVERSLR";"77260";"LA FERTE SOUS JOUARRE";"SEINE-ET-MARNE";"FR";"29/11/2021";"2369,00000000";"2842,80000000";"";"Transféré de : Bon de livraison N° BL00002584 du 23/11/2021.";"";"";""
"FA00006329";"DIVERSLR";"77260";"LA FERTE SOUS JOUARRE";"SEINE-ET-MARNE";"FR";"29/11/2021";"2369,00000000";"2842,80000000";"";"Transféré de : Commande N° CM00005770 du 09/11/2021.";"";"";""
"FA00006329";"DIVERSLR";"77260";"LA FERTE SOUS JOUARRE";"SEINE-ET-MARNE";"FR";"29/11/2021";"2369,00000000";"2842,80000000";"";"Suivant devis N° VP211004803D/1";"";"";""
"FA00006329";"DIVERSLR";"77260";"LA FERTE SOUS JOUARRE";"SEINE-ET-MARNE";"FR";"29/11/2021";"2369,00000000";"2842,80000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion";"1,00000000";"2369,00000000";"2842,80000000"
"FA00006336";"DIVERS";"2880";"CROUY";"AISNE";"FR";"01/12/2021";"190,00000000";"228,00000000";"AR00021";"2 échelles
4 lisses
";"1,00000000";"190,00000000";"228,00000000"
"FA00006338";"GRANGER";"95941";"ROISSY CDG CEDEX";"HAUTS-DE-SEINE";"FR";"02/12/2021";"45000,00000000";"54000,00000000";"";"Affaire : 187197-CB-0
SARL TRANSPORTS GRANGER
BOULEVARD ST DENIS
92400 COURBEVOIE

";"";"";""
"FA00006338";"GRANGER";"95941";"ROISSY CDG CEDEX";"HAUTS-DE-SEINE";"FR";"02/12/2021";"45000,00000000";"54000,00000000";"AR00009";"Fourniture de rayonnages reconditionnés
Dépot de GENNEVILLIERS ";"1,00000000";"45000,00000000";"54000,00000000"
"FA00006338";"GRANGER";"95941";"ROISSY CDG CEDEX";"HAUTS-DE-SEINE";"FR";"02/12/2021";"45000,00000000";"54000,00000000";"";"";"";"";""
"FA00006338";"GRANGER";"95941";"ROISSY CDG CEDEX";"HAUTS-DE-SEINE";"FR";"02/12/2021";"45000,00000000";"54000,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"";"Transféré de : Commande N° CM00005742 du 21/10/2021.";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"";"Suivant devis N°TR2011001.1";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"AR00013";"Remise en Conformité de vos rayonnages";"1,00000000";"10000,00000000";"12000,00000000"
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"";"";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"";"Suivant devis N° TR211001.2";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"AR00013";"Remise en Conformité de vos rayonnages
Fourniture et mise en place de matériel de stockage neuf";"1,00000000";"19200,00000000";"23040,00000000"
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"";"";"";"";""
"FA00006339";"VM";"76140";"LE PETIT QUEVILLY";"SEINE-MARITIME";"FR";"02/12/2021";"29200,00000000";"35040,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006340";"VM";"76770";"LE HOULME";"SEINE-MARITIME";"FR";"02/12/2021";"15999,00000000";"19198,80000000";"";"Transféré de : Commande N° CM00005763 du 08/11/2021.";"";"";""
"FA00006340";"VM";"76770";"LE HOULME";"SEINE-MARITIME";"FR";"02/12/2021";"15999,00000000";"19198,80000000";"";"Suivant devis N°TR211027.4";"";"";""
"FA00006340";"VM";"76770";"LE HOULME";"SEINE-MARITIME";"FR";"02/12/2021";"15999,00000000";"19198,80000000";"AR00013";"Remise en Conformité de vos rayonnages
Fourniture et mise en place de matériel de stockage";"1,00000000";"15999,00000000";"19198,80000000"
"FA00006340";"VM";"76770";"LE HOULME";"SEINE-MARITIME";"FR";"02/12/2021";"15999,00000000";"19198,80000000";"";"";"";"";""
"FA00006340";"VM";"76770";"LE HOULME";"SEINE-MARITIME";"FR";"02/12/2021";"15999,00000000";"19198,80000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006341";"ICOPAL";"92184";"ANTONY CEDEX";"SEINE-ST-DENIS";"FR";"02/12/2021";"3500,00000000";"4200,00000000";"";"Transféré de : Commande N° CM00005772 du 10/11/2021.";"";"";""
"FA00006341";"ICOPAL";"92184";"ANTONY CEDEX";"SEINE-ST-DENIS";"FR";"02/12/2021";"3500,00000000";"4200,00000000";"AR00003";"Démontage de rayonnages
Transfert du matériel de CHOISY LE ROI à DAMMARIE LES LYS";"1,00000000";"3500,00000000";"4200,00000000"
"FA00006341";"ICOPAL";"92184";"ANTONY CEDEX";"SEINE-ST-DENIS";"FR";"02/12/2021";"3500,00000000";"4200,00000000";"";"";"";"";""
"FA00006341";"ICOPAL";"92184";"ANTONY CEDEX";"SEINE-ST-DENIS";"FR";"02/12/2021";"3500,00000000";"4200,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006342";"GRANGER";"92400";"COURBEVOIE";"HAUTS-DE-SEINE";"FR";"02/12/2021";"2645,00000000";"3174,00000000";"";"Transféré de : Commande N° CM00005779 du 17/11/2021.";"";"";""
"FA00006342";"GRANGER";"92400";"COURBEVOIE";"HAUTS-DE-SEINE";"FR";"02/12/2021";"2645,00000000";"3174,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
";"1,00000000";"2645,00000000";"3174,00000000"
"FA00006342";"GRANGER";"92400";"COURBEVOIE";"HAUTS-DE-SEINE";"FR";"02/12/2021";"2645,00000000";"3174,00000000";"";"SUIVANT DEVIS FC11104836D";"";"";""
"FA00006342";"GRANGER";"92400";"COURBEVOIE";"HAUTS-DE-SEINE";"FR";"02/12/2021";"2645,00000000";"3174,00000000";"";"";"";"";""
"FA00006342";"GRANGER";"92400";"COURBEVOIE";"HAUTS-DE-SEINE";"FR";"02/12/2021";"2645,00000000";"3174,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006343";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"8625,00000000";"10350,00000000";"";"Transféré de : Commande N° CM00005730 du 14/10/2021.";"";"";""
"FA00006343";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"8625,00000000";"10350,00000000";"";"Suivant commande N° DPS2110DED00019";"";"";""
"FA00006343";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"8625,00000000";"10350,00000000";"AR00010";"Montage de matériel de stockage de marque MECALUX";"1,00000000";"8625,00000000";"10350,00000000"
"FA00006343";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"8625,00000000";"10350,00000000";"";"";"";"";""
"FA00006343";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"8625,00000000";"10350,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006344";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"5625,00000000";"6750,00000000";"";"Transféré de : Commande N° CM00005801 du 29/11/2021.";"";"";""
"FA00006344";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"5625,00000000";"6750,00000000";"";"Suivant commande N° DPS2110DED00029";"";"";""
"FA00006344";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"5625,00000000";"6750,00000000";"AR00009";"Mise en place de rayonnages ";"1,00000000";"5625,00000000";"6750,00000000"
"FA00006344";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"5625,00000000";"6750,00000000";"";"";"";"";""
"FA00006344";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"5625,00000000";"6750,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006345";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"4995,00000000";"5994,00000000";"";"Transféré de : Commande N° CM00005776 du 10/11/2021.";"";"";""
"FA00006345";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"4995,00000000";"5994,00000000";"";"Suivant commande N° DPS2110DED00039";"";"";""
"FA00006345";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"4995,00000000";"5994,00000000";"AR00002";"Fourniture et mise en place de protection madriers";"1,00000000";"4995,00000000";"5994,00000000"
"FA00006345";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"4995,00000000";"5994,00000000";"";"";"";"";""
"FA00006345";"NATIVE";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"02/12/2021";"4995,00000000";"5994,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006346";"LOCARMOR";"29104";"QUIMPER CEDEX";"FINISTERE";"FR";"02/12/2021";"10350,00000000";"12420,00000000";"";"Transféré de : Bon de livraison N° BL00002593 du 30/11/2021.";"";"";""
"FA00006346";"LOCARMOR";"29104";"QUIMPER CEDEX";"FINISTERE";"FR";"02/12/2021";"10350,00000000";"12420,00000000";"";"Transféré de : Commande N° CM00005775 du 10/11/2021.";"";"";""
"FA00006346";"LOCARMOR";"29104";"QUIMPER CEDEX";"FINISTERE";"FR";"02/12/2021";"10350,00000000";"12420,00000000";"";"V/REF COMMANDE N° MG21067";"";"";""
"FA00006346";"LOCARMOR";"29104";"QUIMPER CEDEX";"FINISTERE";"FR";"02/12/2021";"10350,00000000";"12420,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
40 échelle de 5000 mm
320 lisses de 2700 mm
";"1,00000000";"10350,00000000";"12420,00000000"
"FA00006346";"LOCARMOR";"29104";"QUIMPER CEDEX";"FINISTERE";"FR";"02/12/2021";"10350,00000000";"12420,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006347";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"02/12/2021";"34776,00000000";"41731,20000000";"";"Transféré de : Bon de livraison N° BL00002594 du 01/12/2021.";"";"";""
"FA00006347";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"02/12/2021";"34776,00000000";"41731,20000000";"";"Transféré de : Commande N° CM00005810 du 01/12/2021.";"";"";""
"FA00006347";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"02/12/2021";"34776,00000000";"41731,20000000";"AR00028";"Fourniture de 216 caisses Europol
Suivant commande CA0121120025";"1,00000000";"34776,00000000";"41731,20000000"
"FA00006349";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"17083,33000000";"20500,00000000";"";"Facture d'acompte";"";"";""
"FA00006349";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"17083,33000000";"20500,00000000";"";"Suivant devis N° RP210805C";"";"";""
"FA00006349";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"17083,33000000";"20500,00000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion site de GONESSE";"1,00000000";"17083,33000000";"20500,00000000"
"FA00006350";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"6400,00000000";"7680,00000000";"";"Facture d'acompte";"";"";""
"FA00006350";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"6400,00000000";"7680,00000000";"";"Suivant devis N° FC210904721D";"";"";""
"FA00006350";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"6400,00000000";"7680,00000000";"AR00002";"Fourniture de 1260 plateaux fils 880*1100 mm neuf et occasion site de GONESSE";"1,00000000";"6400,00000000";"7680,00000000"
"FA00006350";"KALYANI";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"6400,00000000";"7680,00000000";"";"";"";"";""
"FA00006351";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"9600,00000000";"11520,00000000";"";"Suivant devis N° FC210904721D";"";"";""
"FA00006351";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"9600,00000000";"11520,00000000";"AR00002";"Fourniture de 1260 plateaux fils 880*1100 mm neuf et occasion site de GONESSE";"1,00000000";"9600,00000000";"11520,00000000"
"FA00006351";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"9600,00000000";"11520,00000000";"";"";"";"";""
"FA00006351";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"9600,00000000";"11520,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006352";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"39916,50000000";"47899,80000000";"";"Suivant devis N° RP210805C";"";"";""
"FA00006352";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"39916,50000000";"47899,80000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion site de GONESSE";"1,00000000";"39916,50000000";"47899,80000000"
"FA00006352";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"39916,50000000";"47899,80000000";"";"";"";"";""
"FA00006352";"KALYANI";"95500";"GONESSE";"VAL-D'OISE";"FR";"03/12/2021";"39916,50000000";"47899,80000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006353";"ATTITUDE";"78530";"BUC";"YVELINES";"FR";"08/12/2021";"6690,00000000";"8028,00000000";"";"Transféré de : Commande N° CM00005821 du 08/12/2021.";"";"";""
"FA00006353";"ATTITUDE";"78530";"BUC";"YVELINES";"FR";"08/12/2021";"6690,00000000";"8028,00000000";"";"Suivant devis N°FC2112022D modifié";"";"";""
"FA00006353";"ATTITUDE";"78530";"BUC";"YVELINES";"FR";"08/12/2021";"6690,00000000";"8028,00000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion";"1,00000000";"6690,00000000";"8028,00000000"
"FA00006353";"ATTITUDE";"78530";"BUC";"YVELINES";"FR";"08/12/2021";"6690,00000000";"8028,00000000";"";"";"";"";""
"FA00006353";"ATTITUDE";"78530";"BUC";"YVELINES";"FR";"08/12/2021";"6690,00000000";"8028,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"";"Transféré de : Bon de livraison N° BL00002592 du 29/11/2021.";"";"";""
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"";"Transféré de : Commande N° CM00005747 du 22/10/2021.";"";"";""
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"";"Suivant devis N° TR211021.1";"";"";""
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
4 échelles de 4500 mm
16 lisses de 2700 mm
8 lisses de 1850 mm
4 sabots de protection
Chevilles, goupilles
";"1,00000000";"1297,00000000";"1556,40000000"
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"";"";"";"";""
"FA00006354";"DRM";"76700";"GONFREVILLE L ORCHER";"SEINE-MARITIME";"FR";"08/12/2021";"1297,00000000";"1556,40000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006355";"SIPLAST";"41170";"CORMENON";"LOIR-ET-CHER";"FR";"08/12/2021";"7900,00000000";"9480,00000000";"";"Suivant commande N° 9381 M 03 M 4787";"";"";""
"FA00006355";"SIPLAST";"41170";"CORMENON";"LOIR-ET-CHER";"FR";"08/12/2021";"7900,00000000";"9480,00000000";"AR00011";"Modification de niveaux de stockage blocs accu";"1,00000000";"7900,00000000";"9480,00000000"
"FA00006356";"ARTDAN";"78240";"AIGREMONT";"YVELINES";"FR";"08/12/2021";"214,00000000";"256,80000000";"";"Transféré de : Commande N° CM00005806 du 29/11/2021.";"";"";""
"FA00006356";"ARTDAN";"78240";"AIGREMONT";"YVELINES";"FR";"08/12/2021";"214,00000000";"256,80000000";"";"Suivant commande N° 34663";"";"";""
"FA00006356";"ARTDAN";"78240";"AIGREMONT";"YVELINES";"FR";"08/12/2021";"214,00000000";"256,80000000";"AR00004";"Fourniture de 7 séparateurs vertical neuf ";"1,00000000";"214,00000000";"256,80000000"
"FA00006357";"FENWICK";"95708";"ROISSY CDG CEDEX";"VAL-D'OISE";"FR";"08/12/2021";"13707,00000000";"16448,40000000";"";"Transféré de : Commande N° CM00005737 du 20/10/2021.";"";"";""
"FA00006357";"FENWICK";"95708";"ROISSY CDG CEDEX";"VAL-D'OISE";"FR";"08/12/2021";"13707,00000000";"16448,40000000";"";"V/REF COMMANDE N° RY045178/A";"";"";""
"FA00006357";"FENWICK";"95708";"ROISSY CDG CEDEX";"VAL-D'OISE";"FR";"08/12/2021";"13707,00000000";"16448,40000000";"AR00006";"Fourniture d'une plate forme de stockage neuve";"1,00000000";"13707,00000000";"16448,40000000"
"FA00006359";"SIPLAST";"41170";"CORMENON";"LOIR-ET-CHER";"FR";"08/12/2021";"7900,00000000";"9480,00000000";"";"Transféré de : Commande N° CM00005745 du 22/10/2021.";"";"";""
"FA00006359";"SIPLAST";"41170";"CORMENON";"LOIR-ET-CHER";"FR";"08/12/2021";"7900,00000000";"9480,00000000";"";"Suivant commande N° 9381 M 03 M 4787";"";"";""
"FA00006359";"SIPLAST";"41170";"CORMENON";"LOIR-ET-CHER";"FR";"08/12/2021";"7900,00000000";"9480,00000000";"AR00011";"Modification de niveaux de stockage ";"1,00000000";"7900,00000000";"9480,00000000"
"FA00006348";"BANQUEALIMENTAIRE";"14760";"BRETTEVILLE SUR ODON";"CALVADOS";"FR";"02/12/2021";"2480,00000000";"2976,00000000";"";"Transféré de : Commande N° CM00005788 du 22/11/2021.";"";"";""
"FA00006348";"BANQUEALIMENTAIRE";"14760";"BRETTEVILLE SUR ODON";"CALVADOS";"FR";"02/12/2021";"2480,00000000";"2976,00000000";"";"Suivant devis N° VP211104845D";"";"";""
"FA00006348";"BANQUEALIMENTAIRE";"14760";"BRETTEVILLE SUR ODON";"CALVADOS";"FR";"02/12/2021";"2480,00000000";"2976,00000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"2480,00000000";"2976,00000000"
"FA00006348";"BANQUEALIMENTAIRE";"14760";"BRETTEVILLE SUR ODON";"CALVADOS";"FR";"02/12/2021";"2480,00000000";"2976,00000000";"";"";"";"";""
"FA00006348";"BANQUEALIMENTAIRE";"14760";"BRETTEVILLE SUR ODON";"CALVADOS";"FR";"02/12/2021";"2480,00000000";"2976,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006361";"ELECTRICIEN";"76000";"ROUEN";"SEINE-MARITIME";"FR";"14/12/2021";"2286,00000000";"2743,20000000";"";"Transféré de : Commande N° CM00005831 du 14/12/2021.";"";"";""
"FA00006361";"ELECTRICIEN";"76000";"ROUEN";"SEINE-MARITIME";"FR";"14/12/2021";"2286,00000000";"2743,20000000";"";"Suivant devis N° FC211204867D";"";"";""
"FA00006361";"ELECTRICIEN";"76000";"ROUEN";"SEINE-MARITIME";"FR";"14/12/2021";"2286,00000000";"2743,20000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"2286,00000000";"2743,20000000"
"FA00006361";"ELECTRICIEN";"76000";"ROUEN";"SEINE-MARITIME";"FR";"14/12/2021";"2286,00000000";"2743,20000000";"";"";"";"";""
"FA00006361";"ELECTRICIEN";"76000";"ROUEN";"SEINE-MARITIME";"FR";"14/12/2021";"2286,00000000";"2743,20000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006364";"WINE";"91380";"CHILLY MAZARIN";"ESSONNE";"FR";"14/12/2021";"5280,00000000";"6336,00000000";"";"Transféré de : Commande N° CM00005797 du 22/11/2021.";"";"";""
"FA00006364";"WINE";"91380";"CHILLY MAZARIN";"ESSONNE";"FR";"14/12/2021";"5280,00000000";"6336,00000000";"AR00002";"Fourniture de 200 plateaux fils de 670*1000 mm";"1,00000000";"5280,00000000";"6336,00000000"
"FA00006364";"WINE";"91380";"CHILLY MAZARIN";"ESSONNE";"FR";"14/12/2021";"5280,00000000";"6336,00000000";"";"Notre devis VP211104837D";"";"";""
"FA00006364";"WINE";"91380";"CHILLY MAZARIN";"ESSONNE";"FR";"14/12/2021";"5280,00000000";"6336,00000000";"";"";"";"";""
"FA00006364";"WINE";"91380";"CHILLY MAZARIN";"ESSONNE";"FR";"14/12/2021";"5280,00000000";"6336,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006365";"WINE";"91320";"WISSOUS";"ESSONNE";"FR";"14/12/2021";"4700,00000000";"5640,00000000";"";"Suivant devis N° RP210812A";"";"";""
"FA00006365";"WINE";"91320";"WISSOUS";"ESSONNE";"FR";"14/12/2021";"4700,00000000";"5640,00000000";"AR00012";"Démontage de vos rayonnages site de ST DENIS";"1,00000000";"4700,00000000";"5640,00000000"
"FA00006365";"WINE";"91320";"WISSOUS";"ESSONNE";"FR";"14/12/2021";"4700,00000000";"5640,00000000";"";"";"";"";""
"FA00006365";"WINE";"91320";"WISSOUS";"ESSONNE";"FR";"14/12/2021";"4700,00000000";"5640,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006366";"SAREVA";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"14/12/2021";"4830,00000000";"5796,00000000";"";"Transféré de : Commande N° CM00005721 du 11/10/2021.";"";"";""
"FA00006366";"SAREVA";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"14/12/2021";"4830,00000000";"5796,00000000";"";"Suivant devis N° VP210904722D";"";"";""
"FA00006366";"SAREVA";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"14/12/2021";"4830,00000000";"5796,00000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"4830,00000000";"5796,00000000"
"FA00006366";"SAREVA";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"14/12/2021";"4830,00000000";"5796,00000000";"";"";"";"";""
"FA00006366";"SAREVA";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"14/12/2021";"4830,00000000";"5796,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"";"Transféré de : Bon de livraison N° BL00002599 du 07/12/2021.";"";"";""
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"";"Transféré de : Commande N° CM00005771 du 09/11/2021.";"";"";""
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"";"Suivant commande N° S0XBAT";"";"";""
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"AR00004";"12 plateaux fils de 880/1200 mm";"1,00000000";"528,00000000";"633,60000000"
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"";"";"";"";""
"FA00006367";"NIORT76";"76021";"ROUEN CEDEX 2";"SEINE-MARITIME";"FR";"14/12/2021";"528,00000000";"633,60000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006370";"QUALITY";"14400";"ST VIGOR LE GRAND";"CALVADOS";"FR";"14/12/2021";"8980,00000000";"10776,00000000";"";"Transféré de : Bon de livraison N° BL00002600 du 08/12/2021.";"";"";""
"FA00006370";"QUALITY";"14400";"ST VIGOR LE GRAND";"CALVADOS";"FR";"14/12/2021";"8980,00000000";"10776,00000000";"";"Transféré de : Commande N° CM00005815 du 02/12/2021.";"";"";""
"FA00006370";"QUALITY";"14400";"ST VIGOR LE GRAND";"CALVADOS";"FR";"14/12/2021";"8980,00000000";"10776,00000000";"";"Suivant devis N° VP211104831D";"";"";""
